iter	RMSE
0	4245.956143
1	4102.326686
2	3961.395357
3	3828.065775
4	3725.644897
5	3612.71003
6	3502.215762
7	3398.042479
8	3334.814778
9	3253.574871
10	3179.930391
11	3108.011378
12	3044.626689
13	2982.342975
14	2935.567967
15	2881.741226
16	2833.218268
17	2786.719718
18	2749.19136
19	2706.018631
20	2666.951809
21	2629.904169
22	2606.689215
23	2574.593089
24	2550.758044
25	2522.436807
26	2498.51033
27	2476.539302
28	2455.78799
29	2438.248623
30	2425.216858
31	2411.063518
32	2394.847978
33	2379.192467
34	2367.053868
35	2351.038998
36	2337.236075
37	2327.19447
38	2319.642271
39	2308.946901
40	2300.95585
41	2288.265644
42	2278.592672
43	2272.194083
44	2266.27484
45	2258.714954
46	2250.195291
47	2241.755453
48	2232.420027
49	2225.235259
50	2220.008914
51	2213.09146
52	2208.972686
53	2201.998211
54	2198.068294
55	2193.075248
56	2186.745192
57	2183.729163
58	2180.62103
59	2173.218665
60	2170.008538
61	2164.294768
62	2159.357398
63	2157.578994
64	2151.701945
65	2147.578066
66	2144.102638
67	2138.949368
68	2134.121829
69	2128.240349
70	2124.834903
71	2122.761503
72	2119.619943
73	2116.6005
74	2111.871242
75	2108.00896
76	2104.717277
77	2099.45199
78	2096.902653
79	2094.398702
80	2093.36508
81	2090.310043
82	2086.324235
83	2084.366044
84	2079.821572
85	2077.715648
86	2074.111457
87	2072.486795
88	2069.628748
89	2066.960925
90	2066.017013
91	2063.272981
92	2060.2876
93	2058.994867
94	2055.748715
95	2052.35983
96	2050.10174
97	2048.082496
98	2045.294201
99	2043.564602
100	2040.453899
101	2038.347815
102	2035.960132
103	2032.989216
104	2030.775405
105	2027.993722
106	2025.91332
107	2024.032519
108	2022.078373
109	2019.953957
110	2018.561943
111	2015.763761
112	2014.057791
113	2011.618731
114	2010.247162
115	2009.639855
116	2007.690188
117	2006.852799
118	2005.811447
119	2003.951122
120	2001.821229
121	1999.950922
122	1996.87778
123	1995.713103
124	1994.920418
125	1993.335412
126	1991.900579
127	1990.680947
128	1989.527115
129	1988.480993
130	1986.577619
131	1985.877491
132	1984.393869
133	1983.480308
134	1982.222433
135	1980.571818
136	1977.568618
137	1976.024403
138	1974.814566
139	1973.563763
140	1972.267571
141	1971.158172
142	1970.041064
143	1969.084035
144	1968.310775
145	1966.470691
146	1965.399347
147	1965.05978
148	1964.450361
149	1963.006267
150	1961.536418
151	1960.28755
152	1958.722315
153	1957.258941
154	1956.21434
155	1954.931427
156	1953.657898
157	1952.491577
158	1951.228559
159	1949.976006
160	1947.773318
161	1946.921102
162	1945.822074
163	1943.98184
164	1942.088349
165	1941.102312
166	1940.067313
167	1938.54621
168	1936.951266
169	1935.194563
170	1933.943137
171	1933.219285
172	1932.64705
173	1931.609267
174	1930.624721
175	1929.586098
176	1928.143979
177	1927.365443
178	1926.706054
179	1925.884606
180	1925.122846
181	1923.371362
182	1922.904615
183	1922.518644
184	1922.296746
185	1921.661746
186	1921.343372
187	1920.64084
188	1920.23855
189	1919.20124
190	1917.829661
191	1916.911781
192	1916.683543
193	1915.992842
194	1914.765803
195	1914.389643
196	1914.001678
197	1913.368396
198	1913.14965
199	1912.607712
200	1911.939338
201	1911.610539
202	1910.460301
203	1910.10828
204	1909.803791
205	1908.76953
206	1908.439138
207	1906.821496
208	1905.799888
209	1904.424259
210	1903.088303
211	1902.796163
212	1902.640029
213	1902.224
214	1900.890968
215	1900.558735
216	1900.358647
217	1900.034787
218	1899.88938
219	1899.485966
220	1898.614886
221	1897.322621
222	1897.113887
223	1896.872233
224	1895.86876
225	1894.845616
226	1894.444816
227	1894.316923
228	1893.552209
229	1892.000167
230	1891.208465
231	1891.028922
232	1889.875987
233	1889.148885
234	1888.581719
235	1888.076082
236	1887.98173
237	1887.804334
238	1887.699112
239	1887.41956
240	1886.712065
241	1885.775383
242	1885.078203
243	1884.731207
244	1883.842369
245	1883.182598
246	1882.416716
247	1881.484095
248	1881.201508
249	1880.509026
250	1879.989168
251	1879.211008
252	1878.937999
253	1878.69378
254	1877.91257
255	1877.248743
256	1876.425004
257	1875.811282
258	1875.342687
259	1874.446251
260	1874.202571
261	1873.832585
262	1873.311728
263	1872.759648
264	1871.66748
265	1871.447146
266	1870.263138
267	1869.80765
268	1869.018084
269	1868.459175
270	1867.948083
271	1867.176338
272	1866.723355
273	1866.506474
274	1865.854286
275	1865.08806
276	1864.811049
277	1864.245996
278	1864.015147
279	1863.771124
280	1862.835835
281	1861.954666
282	1861.193391
283	1860.936839
284	1860.675927
285	1859.436096
286	1859.271264
287	1858.110394
288	1857.00134
289	1856.379822
290	1856.028031
291	1855.524214
292	1854.246845
293	1853.178548
294	1851.970774
295	1851.220067
296	1850.811817
297	1850.310573
298	1849.713551
299	1849.426609
300	1848.974713
301	1847.832837
302	1847.236555
303	1846.378496
304	1845.977506
305	1845.19172
306	1844.345984
307	1844.0543
308	1843.030652
309	1842.774694
310	1842.497539
311	1842.234821
312	1841.444742
313	1841.107187
314	1840.598326
315	1839.679838
316	1839.07037
317	1838.855069
318	1838.737784
319	1838.254068
320	1837.8931
321	1837.149302
322	1836.939282
323	1836.578581
324	1835.885127
325	1835.03596
326	1834.588817
327	1834.142227
328	1833.043704
329	1832.793247
330	1832.052145
331	1831.249027
332	1830.397797
333	1829.525782
334	1828.896732
335	1828.625751
336	1828.34062
337	1827.603997
338	1826.893012
339	1826.665584
340	1825.727409
341	1825.499281
342	1825.115925
343	1824.642261
344	1823.505089
345	1823.114961
346	1822.936536
347	1822.182864
348	1822.081158
349	1821.021098
350	1820.471363
351	1820.149757
352	1819.959048
353	1819.600837
354	1819.183616
355	1818.952669
356	1817.968784
357	1817.773161
358	1817.493631
359	1817.151458
360	1816.637205
361	1816.050794
362	1815.133485
363	1814.792636
364	1814.190384
365	1813.263065
366	1812.626353
367	1811.932633
368	1811.297659
369	1810.984365
370	1810.496769
371	1809.868027
372	1809.207902
373	1808.357821
374	1807.717043
375	1807.427057
376	1806.9564
377	1806.432138
378	1805.961034
379	1805.234214
380	1804.572328
381	1803.721577
382	1803.470793
383	1802.858953
384	1802.582623
385	1801.941876
386	1800.893868
387	1800.724727
388	1800.534691
389	1799.942895
390	1799.64776
391	1799.47209
392	1798.957095
393	1798.313794
394	1797.800471
395	1797.270834
396	1796.69315
397	1796.22372
398	1795.650742
399	1795.339772
400	1794.700444
401	1794.480995
402	1794.22102
403	1793.939297
404	1793.689704
405	1793.300072
406	1793.171255
407	1792.448356
408	1792.214002
409	1791.61496
410	1791.05927
411	1790.78235
412	1790.009525
413	1789.41073
414	1789.190428
415	1788.357332
416	1787.737576
417	1786.817317
418	1786.736435
419	1786.436855
420	1786.160758
421	1785.386328
422	1784.766527
423	1784.161956
424	1783.9874
425	1783.845815
426	1783.400035
427	1782.772077
428	1782.059837
429	1781.632096
430	1781.100667
431	1780.608648
432	1780.520372
433	1780.06823
434	1779.543863
435	1779.54043
436	1778.699365
437	1778.384034
438	1777.807611
439	1777.346915
440	1777.266629
441	1776.691872
442	1776.409832
443	1775.962044
444	1775.200932
445	1774.722318
446	1774.177082
447	1773.792359
448	1772.644331
449	1772.227291
450	1771.189574
451	1770.572453
452	1770.473511
453	1769.823783
454	1769.547883
455	1768.61349
456	1768.499099
457	1768.189764
458	1767.338552
459	1766.827306
460	1766.307707
461	1765.672868
462	1765.144341
463	1764.614177
464	1764.611158
465	1764.204411
466	1764.039056
467	1764.036118
468	1763.853024
469	1762.983004
470	1762.547749
471	1761.981325
472	1761.35532
473	1760.522064
474	1759.9007
475	1759.780852
476	1759.690707
477	1759.131291
478	1758.745916
479	1758.211854
480	1757.75995
481	1757.499686
482	1757.363411
483	1757.091575
484	1756.695793
485	1756.594842
486	1756.128208
487	1755.858549
488	1755.005117
489	1754.538513
490	1754.007559
491	1753.608994
492	1752.275384
493	1751.439582
494	1751.13515
495	1750.676224
496	1750.266253
497	1750.233754
498	1749.983028
499	1749.852527
500	1749.704877
501	1749.067226
502	1748.867661
503	1748.285578
504	1748.28318
505	1747.813303
506	1747.557216
507	1747.038559
508	1746.679724
509	1745.560332
510	1745.032852
511	1744.68029
512	1744.258092
513	1743.926865
514	1743.452321
515	1743.283318
516	1742.985749
517	1742.750924
518	1742.25113
519	1741.700664
520	1741.582463
521	1741.068195
522	1740.524864
523	1740.061304
524	1739.624575
525	1739.139556
526	1738.611453
527	1738.325232
528	1737.839591
529	1737.422597
530	1737.013603
531	1736.909903
532	1736.040923
533	1735.891835
534	1735.112233
535	1734.889387
536	1734.405729
537	1733.915451
538	1732.766225
539	1732.308877
540	1731.99611
541	1731.642458
542	1731.42225
543	1731.106917
544	1730.836745
545	1730.834684
546	1730.609964
547	1730.309888
548	1730.153992
549	1729.506137
550	1729.068008
551	1728.90327
552	1728.126825
553	1727.969032
554	1727.875267
555	1727.670536
556	1727.006496
557	1726.602877
558	1725.860102
559	1725.47394
560	1724.903604
561	1724.426371
562	1724.052805
563	1723.606456
564	1722.781357
565	1722.458108
566	1721.925364
567	1721.878854
568	1721.852305
569	1721.51931
570	1721.013181
571	1720.405121
572	1719.998685
573	1719.803309
574	1719.323873
575	1719.189428
576	1718.942561
577	1718.351645
578	1717.389604
579	1716.986314
580	1716.212228
581	1715.5404
582	1715.483764
583	1714.850509
584	1714.616564
585	1713.773226
586	1713.690903
587	1713.595795
588	1713.277808
589	1713.162681
590	1712.759313
591	1712.43355
592	1711.826142
593	1711.527702
594	1711.347427
595	1710.974303
596	1710.742975
597	1710.296847
598	1709.969984
599	1709.751228
600	1709.159116
601	1708.866121
602	1708.69721
603	1708.549878
604	1708.34116
605	1708.339259
606	1708.266214
607	1708.182822
608	1707.815422
609	1707.680986
610	1707.193343
611	1706.904066
612	1706.560893
613	1705.677477
614	1705.052005
615	1704.782295
616	1704.503862
617	1704.31107
618	1703.288254
619	1703.11159
620	1702.4074
621	1702.288571
622	1701.986177
623	1701.828791
624	1701.494451
625	1701.3718
626	1701.159484
627	1701.015379
628	1700.879161
629	1700.737444
630	1700.219484
631	1699.626622
632	1699.487635
633	1699.343098
634	1699.010158
635	1698.8932
636	1698.719086
637	1698.227069
638	1697.810616
639	1697.668351
640	1697.347243
641	1697.260372
642	1696.832488
643	1696.283404
644	1696.000487
645	1695.875788
646	1695.444158
647	1694.501535
648	1694.105195
649	1693.960445
650	1693.406709
651	1692.898925
652	1692.516928
653	1692.027202
654	1691.888934
655	1691.775605
656	1691.3766
657	1691.172449
658	1690.982633
659	1690.855102
660	1690.559085
661	1689.689451
662	1689.339984
663	1689.297277
664	1688.730811
665	1688.111832
666	1687.736199
667	1687.398493
668	1687.219232
669	1687.087884
670	1686.96022
671	1686.824671
672	1686.699783
673	1686.217223
674	1685.402492
675	1685.370985
676	1685.171381
677	1685.039768
678	1684.920073
679	1684.426004
680	1684.101892
681	1683.546789
682	1683.438975
683	1683.213265
684	1683.053662
685	1682.694424
686	1682.242998
687	1681.695309
688	1681.18419
689	1680.976021
690	1680.695461
691	1680.483532
692	1680.25798
693	1679.621221
694	1679.176615
695	1678.993122
696	1678.564897
697	1678.108423
698	1677.276121
699	1677.185936
700	1676.776358
701	1676.497892
702	1675.74823
703	1675.456506
704	1675.192022
705	1675.122995
706	1674.984805
707	1674.692842
708	1674.370259
709	1674.217615
710	1673.781297
711	1673.385214
712	1673.086414
713	1672.626022
714	1672.306971
715	1671.916251
716	1671.562553
717	1671.250677
718	1670.999581
719	1670.694315
720	1670.367418
721	1670.064183
722	1669.724561
723	1669.63131
724	1669.386381
725	1669.19118
726	1668.960752
727	1668.834953
728	1668.609359
729	1668.197968
730	1667.742255
731	1667.23618
732	1667.117879
733	1666.407333
734	1666.259895
735	1665.99898
736	1665.644731
737	1665.568457
738	1665.32618
739	1665.265609
740	1664.982181
741	1664.646141
742	1664.438251
743	1664.281893
744	1664.041139
745	1663.978955
746	1663.550241
747	1663.202108
748	1662.581913
749	1662.184035
750	1661.914805
751	1661.565538
752	1661.522958
753	1661.480609
754	1661.42931
755	1661.030779
756	1660.874563
757	1660.404858
758	1660.310311
759	1659.955451
760	1659.872079
761	1659.478385
762	1658.720559
763	1658.572317
764	1658.404241
765	1658.079562
766	1657.92016
767	1657.56851
768	1657.040456
769	1656.876867
770	1656.583172
771	1656.270936
772	1656.150247
773	1655.95508
774	1655.575694
775	1654.973196
776	1654.582325
777	1654.225123
778	1654.087643
779	1653.93914
