iter	Passed	Remaining
0	2	2940
1	4	2009
2	4	1647
3	6	1523
4	6	1390
5	8	1342
6	8	1275
7	9	1236
8	10	1152
9	11	1132
10	12	1105
11	13	1095
12	14	1084
13	15	1074
14	16	1063
15	16	1043
16	17	1035
17	18	1028
18	19	1020
19	20	1014
20	21	1010
21	22	999
22	23	994
23	24	987
24	25	991
25	26	987
26	27	990
27	28	986
28	29	985
29	30	980
30	31	977
31	32	971
32	33	968
33	33	964
34	34	958
35	35	957
36	36	953
37	37	949
38	38	947
39	39	945
40	40	942
41	41	938
42	42	937
43	42	933
44	43	930
45	44	928
46	45	931
47	46	928
48	47	923
49	48	920
50	49	915
51	50	914
52	51	914
53	52	914
54	53	912
55	54	913
56	55	910
57	55	908
58	56	906
59	57	903
60	58	901
61	59	901
62	60	898
63	61	896
64	62	893
65	63	892
66	64	892
67	65	893
68	66	891
69	66	888
70	67	887
71	68	887
72	69	887
73	70	885
74	71	884
75	72	886
76	73	884
77	74	883
78	75	880
79	76	877
80	77	875
81	77	873
82	78	872
83	79	870
84	80	869
85	81	868
86	82	870
87	83	869
88	84	869
89	85	867
90	86	867
91	87	867
92	88	866
93	89	865
94	90	864
95	91	863
96	92	861
97	93	859
98	94	857
99	95	858
100	96	858
101	97	858
102	98	857
103	99	856
104	100	856
105	101	856
106	102	857
107	103	858
108	105	859
109	106	858
110	106	856
111	107	854
112	108	853
113	109	851
114	110	851
115	111	852
116	112	852
117	114	852
118	114	850
119	115	849
120	116	849
121	117	848
122	118	848
123	119	846
124	120	845
125	121	845
126	122	844
127	123	844
128	124	842
129	125	841
130	126	840
131	127	839
132	128	839
133	129	839
134	130	837
135	131	837
136	132	836
137	133	836
138	134	835
139	136	835
140	137	836
141	138	834
142	139	833
143	140	832
144	140	831
145	141	830
146	142	829
147	143	827
148	144	827
149	145	826
150	146	825
151	147	824
152	148	823
153	149	822
154	150	820
155	151	820
156	152	820
157	153	819
158	154	818
159	155	816
160	156	814
161	157	813
162	158	812
163	158	810
164	159	808
165	160	807
166	161	805
167	162	803
168	163	801
169	163	799
170	164	798
171	165	796
172	166	795
173	167	793
174	167	791
175	168	789
176	169	788
177	170	786
178	171	785
179	172	783
180	172	781
181	173	780
182	174	779
183	175	777
184	175	775
185	176	773
186	177	772
187	178	770
188	179	769
189	180	769
190	181	768
191	182	767
192	183	765
193	183	764
194	184	763
195	185	761
196	186	760
197	187	758
198	188	757
199	189	756
200	190	755
201	190	753
202	191	752
203	192	751
204	193	749
205	194	748
206	194	746
207	195	745
208	196	743
209	197	743
210	198	741
211	199	740
212	199	738
213	200	737
214	201	735
215	202	734
216	203	732
217	203	731
218	204	729
219	205	727
220	205	726
221	206	724
222	207	723
223	208	721
224	209	720
225	210	719
226	210	718
227	211	716
228	212	715
229	213	713
230	213	712
231	214	710
232	215	709
233	216	709
234	217	708
235	218	706
236	219	705
237	219	703
238	220	702
239	221	700
240	222	699
241	222	697
242	223	696
243	224	695
244	225	694
245	225	692
246	226	691
247	227	689
248	228	688
249	228	686
250	229	685
251	230	683
252	231	682
253	231	680
254	233	680
255	233	679
256	234	678
257	235	676
258	236	675
259	236	673
260	237	672
261	238	670
262	239	669
263	239	668
264	240	667
265	241	665
266	242	664
267	242	663
268	243	662
269	244	660
270	245	659
271	246	658
272	246	657
273	247	656
274	248	654
275	249	653
276	249	652
277	250	650
278	251	649
279	251	647
280	252	646
281	253	645
282	254	643
283	255	643
284	255	641
285	256	640
286	257	639
287	258	638
288	259	637
289	259	636
290	260	634
